#NAME,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20D1,F1D20D2,F1D20D3,F1D20D4,F1D20D5,F1D20T1,F1D20T2,F1D20T3,F1D20T4,F2D20D1,F2D20D2,F2D20D3,F2D20D4,F2D20D5,F2D20T1,F2D20T2,F2D20T3,F2D20T4
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",0,1,0,0,0,0,0,4,1,1,7,1,4,13,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,1,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Eubacteriaceae,g:Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Acidaminococcaceae,g:Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Coprobacillus",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lactonifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",7,9,8,12,5,6,3,2,1,8,2,2,0,0,7,0,0,3,0,4,2,0,2
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",5,21,66,68,57,68,108,5,42,22,0,0,2,9,67,20,55,70,12,37,29,39,53
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",1,4,1,7,1,1,1,0,0,5,0,0,0,1,5,0,0,0,0,1,2,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",1,0,12,6,5,0,0,0,1,4,0,1,0,0,2,1,0,3,0,0,2,0,1
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Enterorhabdus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",0,0,1,4,3,0,3,0,0,3,0,0,0,0,5,1,3,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Murdochiella",0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Eggerthella",0,0,0,0,0,2,0,4,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0
