#NAME,D16B1,D16B2,D16B3,D16B4,D16B5,D16C1,D16C2,D16C3,D16C4,D16C5,D16T1,D16T2,D16T3,D16T4,D23B1,D23B2,D23B3,D23B4,D23B5,D23C1,D23C2,D23C3,D23C4,D23C5,D23T1,D23T2,D23T3,D23T4,D8B1,D8B2,D8B3,D8B4,D8B5,D8C1,D8C2,D8C3,D8C4,D8C5,D8T1,D8T2,D8T3,D8T4,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20C1,F1D20C2,F1D20C3,F1D20C4,F1D20C5,F1D20T1,F1D20T2,F1D20T3,F1D20T4
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",28,402,7,17,42,200,92,47,38,16,6,2,4,8,206,85,85,343,174,76,57,105,97,81,8,0,5,23,1,1,0,0,1,0,0,0,0,2,0,0,1,0,68,995,53,1084,283,194,254,201,307,74,18,10,4,16
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",12,0,19,3,0,0,0,1,0,59,1250,922,84,50,1,0,0,3,0,0,0,0,0,0,72,13,759,79,13,21,207,13,7,1,2,4,4,56,1,11,4,15,0,1,1,5,0,0,0,2,0,1,257,18,73,119
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Collinsella",0,2,0,0,1,0,1,1,0,14,144,82,43,359,1,0,0,0,0,0,0,1,1,0,58,44,99,280,104,110,204,87,120,621,160,157,365,420,77,93,52,102,0,0,0,5,2,0,0,1,0,0,102,40,391,308
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",2,0,1,1,10,8,21,55,26,39,643,944,97,153,2,0,0,3,0,0,0,2,0,0,457,220,75,182,68,58,12,226,108,243,12,254,249,780,531,458,48,278,0,3,0,3,0,3,24,19,7,10,424,87,348,298
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,0,0,0,524,2,104,2,0,0,24,29,89,23,29,0,34,20,82,23,280,10,6,0,3,4,121,1,1,0,7,0,39,12,0,53,3,0,48,0,32,1,16,0,19,58,124,51,239,277,7,0,6,35,141
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",7,26,0,10,2,215,15,77,139,1,5,734,19,29,82,428,1,22,16,14,17,26,72,1,9,222,18,30,0,3,1,45,1,4,0,0,2,0,0,1,0,8,6,327,1,66,65,118,33,128,348,4,2,414,11,30
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus",0,3,0,2,0,0,0,0,1,90,119,18,173,156,0,0,0,2,0,0,0,0,0,0,34,13,566,190,0,10,38,1,0,3,1,0,1,3,0,1,23,32,0,4,0,1,0,0,0,0,2,0,210,81,52,256
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales",0,0,17,0,0,0,0,0,0,0,27,37,0,0,0,0,0,0,0,0,0,0,0,0,55,10,17,0,0,2,615,0,0,0,54,10,3,300,5,0,0,0,0,0,4,0,0,0,2,1,0,0,37,15,1,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiracea_incertae_sedis",39,7,101,8,0,0,2,27,14,109,100,568,1,8,3,1,11,0,0,0,1,6,4,9,115,211,116,113,12,0,86,0,0,1,3,102,86,40,80,69,0,53,0,1,21,2,1,0,1,75,39,39,112,612,47,58
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Blautia",1,0,0,1,0,0,0,0,0,3,0,0,8,5,2,0,0,10,0,263,1,2,8,2,4,0,7,4,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,226,1,7,7,0,0,0,3,5
