#NAME,F1D20A1,F1D20A2,F1D20A3,F1D20A4,F1D20A5,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20T1,F1D20T2,F1D20T3,F1D20T4,F2D20A1,F2D20A2,F2D20A3,F2D20A4,F2D20A5,F2D20B1,F2D20B2,F2D20B3,F2D20B4,F2D20B5,F2D20C1,F2D20C2,F2D20C3,F2D20C4,F2D20C5
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",0,0,29,2,0,0,10,13,57,8,11,6,1,29,11,0,15,5,4,1,0,0,11,0,62,29,11,29,6
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Allisonella",67,8,7,2,3,0,3,37,33,3,27,3,3,0,22,5,10,23,33,14,30,114,38,11,53,27,10,1,16
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,0,5,3,1,6,1,10,1,56,2,21,24,10,0,31,0,2,47,9,1,9,0,0,2,25,111,9
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",21,17,5,5,0,4,15,2,9,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,13
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,0,0,0,0,0,1,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",0,0,0,3,0,0,1,0,0,0,8,1,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",85,61,28,3,63,9,21,106,99,77,0,0,2,9,106,11,75,21,28,38,124,246,73,84,45,73,92,115,24
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",2,0,0,0,1,0,0,0,0,0,8,2,2,1,0,0,0,1,0,0,4,0,0,0,2,0,33,21,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,0,16,0,0,0,0,2,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Blautia",0,0,0,3,7,0,0,0,2,0,0,4,2,5,2,0,0,0,0,5,1,21,0,0,0,0,3,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",50,154,175,113,191,90,154,358,347,172,111,87,80,0,173,98,167,296,185,323,177,273,217,125,81,188,78,173,243
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Olsenella",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Anaerococcus",0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,0,0,0,0,0,1,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Holdemanella",0,0,0,0,0,0,0,0,0,0,32,34,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Eubacteriaceae,g:Eubacterium",0,0,0,0,0,0,0,0,0,0,20,16,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Eubacteriaceae,g:Eubacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Acidaminococcaceae,g:Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Veillonella",0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,15,0,5,3,2,0,0,0,0,2,1,0
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,14,1,0,0,10,0,24,4
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Eggerthella",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",36,59,55,67,53,60,71,4,85,36,42,19,38,57,41,0,17,16,0,0,0,0,8,0,0,0,0,48,2
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",3,5,4,0,3,3,1,12,6,2,3,0,0,0,0,0,8,5,18,4,4,6,3,3,2,5,0,0,9
"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria",0,2,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",0,0,0,2,0,0,5,1,2,0,1,0,0,0,2,0,0,1,0,1,0,0,3,2,0,0,0,5,5
,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",2,6,4,0,4,1,2,17,14,8,0,0,0,0,6,4,5,12,13,9,12,18,14,9,1,11,0,6,8
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Enterorhabdus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Murdochiella",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",27,17,20,27,15,19,29,5,47,60,26,18,47,50,36,0,22,9,1,0,0,0,10,0,0,0,0,54,1
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",1,1,2,0,0,0,0,3,3,2,1,0,0,0,2,0,1,4,1,2,0,0,0,5,2,0,2,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Barnesiella",0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Slackia",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Gemmiger",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Oribacterium",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
